Date,Strategic Planning
2013-02,1062
2013-03,1371
2013-04,1366
2013-05,1534
2013-06,1919
2013-07,1410
2013-08,1359
2013-09,1847
2013-10,2195
2013-11,1521
2013-12,1923
2014-01,2160
2014-02,1204
2014-03,1435
2014-04,1653
2014-05,1849
2014-06,1816
2014-07,1819
2014-08,1674
2014-09,2342
2014-10,2342
2014-11,1645
2014-12,2273
2015-01,2335
2015-02,1547
2015-03,1948
2015-04,2037
2015-05,1955
2015-06,2390
2015-07,2009
2015-08,2233
2015-09,2411
2015-10,2826
2015-11,2302
2015-12,2884
2016-01,2474
2016-02,2035
2016-03,2378
2016-04,2892
2016-05,2517
2016-06,3120
2016-07,2849
2016-08,2438
2016-09,2884
2016-10,3248
2016-11,2590
2016-12,3442
2017-01,2942
2017-02,2398
2017-03,2963
2017-04,2473
2017-05,3010
2017-06,3173
2017-07,3280
2017-08,2753
2017-09,3518
2017-10,3617
2017-11,3687
2017-12,3621
2018-01,3227
2018-02,2745
2018-03,3213
2018-04,3210
2018-05,3478
2018-06,3476
2018-07,3249
2018-08,3412
2018-09,3926
2018-10,4100
2018-11,3532
2018-12,4221
2019-01,3791
2019-02,2853
2019-03,3517
2019-04,3502
2019-05,3675
2019-06,4142
2019-07,3990
2019-08,3301
2019-09,3638
2019-10,4090
2019-11,4142
2019-12,4800
2020-01,3660
2020-02,3240
2020-03,3817
2020-04,3398
2020-05,3319
2020-06,4310
2020-07,4002
2020-08,3476
2020-09,4158
2020-10,4512
2020-11,4543
2020-12,6263
2021-01,4136
2021-02,3270
2021-03,4068
2021-04,3772
2021-05,4243
2021-06,4124
2021-07,3823
2021-08,4117
2021-09,4271
2021-10,4429
2021-11,4076
2021-12,5112
2022-01,4103
2022-02,3398
2022-03,4047
2022-04,3753
2022-05,3930
2022-06,4713
2022-07,3997
2022-08,4467
2022-09,4527
2022-10,5051
2022-11,4772
2022-12,6146
2023-01,4196
2023-02,3836
2023-03,4547
2023-04,4075
2023-05,4717
2023-06,5344
2023-07,4512
2023-08,4474
2023-09,4918
2023-10,5233
2023-11,4843
2023-12,6236
2024-01,4667
2024-02,4107
2024-03,4947
2024-04,4579
2024-05,5386
2024-06,5223
2024-07,4793
2024-08,4598
2024-09,4348
2024-10,2316
